Data_Status,State,MSN,variable,value,Description,Unit,Code12,Energy Type,Code34,Sector
2017F,AK,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AK,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AK,TPOPP,1960,229.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AL,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AL,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AL,TPOPP,1960,3274.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AR,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AR,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AR,TPOPP,1960,1789.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AZ,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AZ,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AZ,TPOPP,1960,1321.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CA,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CA,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CA,TPOPP,1960,15870.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CO,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CO,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CO,TPOPP,1960,1769.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CT,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CT,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CT,TPOPP,1960,2544.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DC,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DC,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DC,TPOPP,1960,765.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DE,GDPRX,1960,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DE,TETGR,1960,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DE,TPOPP,1960,449.0,Resident population including Armed Forces,Thousand,TP,,OP,
